taxonID	acceptedNameUsageID	taxonomicStatus	family	genus	specificEpithet	infraspecificEpithet	scientificName	taxonRank	scientificNameAuthorship	nameAccordingTo	nameAccordingToID	scientificNameID	namePublishedIn	references
kew-2514844		doubtful	Rutaceae	Terminthodia	viridiflora		Terminthodia viridiflora	species	Ridl.	WCSP (in review)		urn:lsid:ipni.org:names:775349-1		
kew-2520746	kew-2497990	synonym	Plantaginaceae	Termontis	chalepensis		Termontis chalepensis	species	(L.) Raf.	WCSP (in review)		urn:lsid:ipni.org:names:810278-1		
kew-2520745		doubtful	Scrophulariaceae	Termontis	cordata		Termontis cordata	species	Raf.	WCSP (in review)		urn:lsid:ipni.org:names:810279-1		
kew-2520744	kew-2499859	synonym	Plantaginaceae	Termontis	purpurea		Termontis purpurea	species	(L.) Raf.	WCSP (in review)		urn:lsid:ipni.org:names:810280-1		
kew-2520743	kew-2642724	doubtful	Plantaginaceae	Termontis	racemosa		Termontis racemosa	species	Raf.	WCSP (in review)			Autik. Bot., 158, 1840	
kew-2520711	kew-2642939	doubtful	Plantaginaceae	Termontis	sicula		Termontis sicula	species	(Mill.) Raf.	WCSP (in review)		urn:lsid:ipni.org:names:810282-1		
kew-2520761		doubtful	Scrophulariaceae	Termontis	tricolor		Termontis tricolor	species	Raf.	WCSP (in review)		urn:lsid:ipni.org:names:810283-1		
kew-2520729	kew-2499681	doubtful	Plantaginaceae	Termontis	villosa		Termontis villosa	species	Raf.	WCSP (in review)		urn:lsid:ipni.org:names:810284-1		
ild-39114	ild-12017	synonym	Leguminosae	Ternatea	amazonum		Ternatea amazonum	species	(Benth.) Kuntze	ILDIS	39114			
ild-39118	ild-12018	synonym	Leguminosae	Ternatea	arborea		Ternatea arborea	species	(Benth.) Kuntze	ILDIS	39118			
ild-39123	ild-12019	synonym	Leguminosae	Ternatea	arborescens		Ternatea arborescens	species	(R.Br.) Kuntze	ILDIS	39123			
kew-2443767		doubtful	Leguminosae	Ternatea	australis		Ternatea australis	species	Kuntze	WCSP (in review)		urn:lsid:ipni.org:names:521052-1		
ild-39117	ild-39115	synonym	Leguminosae	Ternatea	biflora		Ternatea biflora	species	(Dalzell) Kuntze	ILDIS	39117			
ild-39301	ild-12021	synonym	Leguminosae	Ternatea	brachystegia		Ternatea brachystegia	species	(Benth.) Kuntze	ILDIS	39301			
ild-39277	ild-39278	synonym	Leguminosae	Ternatea	bracteata		Ternatea bracteata	species	(Benth.) Kuntze	ILDIS	39277			
ild-39154	ild-12026	synonym	Leguminosae	Ternatea	densiflora		Ternatea densiflora	species	(Benth.) Kuntze	ILDIS	39154			
tro-13003529		accepted	Leguminosae	Ternatea	flagellaris		Ternatea flagellaris	species	(Benth.) Kuntze	TRO	13003529	urn:lsid:ipni.org:names:250597-2		
ild-39172	ild-2534	synonym	Leguminosae	Ternatea	glycinoides		Ternatea glycinoides	species	(DC.) Kuntze	ILDIS	39172			
tro-13003530		accepted	Leguminosae	Ternatea	grandiflora		Ternatea grandiflora	species	(M. Martens & Galeotti) Kuntze	TRO	13003530	urn:lsid:ipni.org:names:250598-2		
ild-39198	ild-20162	synonym	Leguminosae	Ternatea	guianensis		Ternatea guianensis	species	(Aubl.) Kuntze	ILDIS	39198			
kew-2443744		doubtful	Leguminosae	Ternatea	hanceana		Ternatea hanceana	species	Kuntze	WCSP (in review)		urn:lsid:ipni.org:names:521060-1		
ild-39215	ild-43129	synonym	Leguminosae	Ternatea	heterophylla		Ternatea heterophylla	species	(Lam.) Kuntze	ILDIS	39215			
ild-39221	ild-30249	synonym	Leguminosae	Ternatea	javitensis		Ternatea javitensis	species	(Kunth) Kuntze	ILDIS	39221			
ild-41710	ild-39225	synonym	Leguminosae	Ternatea	lasciva		Ternatea lasciva	species	(Benth.) Kuntze	ILDIS	41710			
ild-39237	ild-2537	synonym	Leguminosae	Ternatea	laurifolia		Ternatea laurifolia	species	(Poir.) Kuntze	ILDIS	39237	urn:lsid:ipni.org:names:1182786-2		
tro-13003533		accepted	Leguminosae	Ternatea	leptostachya		Ternatea leptostachya	species	(Benth.) Kuntze	TRO	13003533	urn:lsid:ipni.org:names:250601-2		
kew-2443740		doubtful	Leguminosae	Ternatea	macrophylla		Ternatea macrophylla	species	Kuntze	WCSP (in review)		urn:lsid:ipni.org:names:521066-1		
ild-39249	ild-12034	synonym	Leguminosae	Ternatea	mariana		Ternatea mariana	species	(L.) Kuntze	ILDIS	39249	urn:lsid:ipni.org:names:1115368-2		
ild-39258	ild-12040	synonym	Leguminosae	Ternatea	multiflora		Ternatea multiflora	species	M.Martens & Galeotti	ILDIS	39258			
tro-13003535	ild-15764	synonym	Leguminosae	Ternatea	multiflora		Ternatea multiflora	species	(Sw.) Kuntze	TRO	13003535	urn:lsid:ipni.org:names:250603-2		
tro-13003536	ild-12036	synonym	Leguminosae	Ternatea	nana		Ternatea nana	species	(Benth.) Kuntze	TRO	13003536	urn:lsid:ipni.org:names:250604-2		
ild-39216	ild-39218	synonym	Leguminosae	Ternatea	pedunculata		Ternatea pedunculata	species	(Benth.) Kuntze	ILDIS	39216			
ild-39257	ild-12040	synonym	Leguminosae	Ternatea	polystachya		Ternatea polystachya	species	(Benth.) Kuntze	ILDIS	39257			
tro-13003538	ild-24526	synonym	Leguminosae	Ternatea	portobellensis		Ternatea portobellensis	species	(Beurl.) Kuntze	TRO	13003538	urn:lsid:ipni.org:names:250606-2		
ild-41711	ild-10748	synonym	Leguminosae	Ternatea	racemosa		Ternatea racemosa	species	(Benth.) Kuntze	ILDIS	41711			
ild-39171	ild-2534	synonym	Leguminosae	Ternatea	rubiginosa		Ternatea rubiginosa	species	(Pers.) Kuntze	ILDIS	39171			
tro-13003541		accepted	Leguminosae	Ternatea	rufescens		Ternatea rufescens	species	(Benth.) Kuntze	TRO	13003541	urn:lsid:ipni.org:names:250609-2		
tro-13003542	ild-2532	synonym	Leguminosae	Ternatea	schiedeana		Ternatea schiedeana	species	(Schltdl.) Kuntze	TRO	13003542	urn:lsid:ipni.org:names:250610-2		
ild-39272	ild-12043	synonym	Leguminosae	Ternatea	selloi		Ternatea selloi	species	(Benth.) Kuntze	ILDIS	39272			
ild-39274	ild-20164	synonym	Leguminosae	Ternatea	simplicifolia		Ternatea simplicifolia	species	(Kunth) Kuntze	ILDIS	39274			
ild-33034	ild-2539	synonym	Leguminosae	Ternatea	ternatea		Ternatea ternatea	species	(L.) Kuntze	ILDIS	33034			
ild-21857	ild-2539	synonym	Leguminosae	Ternatea	vulgaris		Ternatea vulgaris	species	Kunth	ILDIS	21857			
ild-39292	ild-2539	synonym	Leguminosae	Ternatea	vulgaris		Ternatea vulgaris	species	Kuntze	ILDIS	39292			
kew-2513239		doubtful	Podostemaceae	Terniola	carinata		Terniola carinata	species	Lecomte	WCSP (in review)		urn:lsid:ipni.org:names:688602-1		
kew-2513207		doubtful	Podostemaceae	Terniola	diversifolia		Terniola diversifolia	species	Lecomte	WCSP (in review)		urn:lsid:ipni.org:names:688603-1		
kew-2513257		doubtful	Podostemaceae	Terniola	foliosa		Terniola foliosa	species	Wedd.	WCSP (in review)		urn:lsid:ipni.org:names:688604-1		
kew-2513225		doubtful	Podostemaceae	Terniola	lawii		Terniola lawii	species	Wedd.	WCSP (in review)		urn:lsid:ipni.org:names:688605-1		
kew-2513194		doubtful	Podostemaceae	Terniola	longipes		Terniola longipes	species	Tul.	WCSP (in review)		urn:lsid:ipni.org:names:688606-1		
kew-2513193		doubtful	Podostemaceae	Terniola	pedunculosa		Terniola pedunculosa	species	Wedd.	WCSP (in review)		urn:lsid:ipni.org:names:688607-1		
kew-2513192		doubtful	Podostemaceae	Terniola	pulchella		Terniola pulchella	species	Tul.	WCSP (in review)		urn:lsid:ipni.org:names:688608-1		
kew-2513191		doubtful	Podostemaceae	Terniola	ramosissima		Terniola ramosissima	species	Wedd.	WCSP (in review)		urn:lsid:ipni.org:names:688609-1		
